index,0
BBC News,"BBC News is an operational business division of the British Broadcasting Corporation (BBC) responsible for the gathering and broadcasting of news and current affairs. The department is the world's largest broadcast news organisation and generates about 120 hours of radio and television output each day, as well as online news coverage."
Revolutionary Guards Commander,"The Islamic Revolutionary Guard Corps (IRGC; Persian: سپاه پاسداران انقلاب اسلامی, romanized: Sepâh-e Pâsdârân-e Enghelâb-e Eslâmi, lit. 'Army of Guardians of the Islamic Revolution' or Sepâh for short) is a branch of the Iranian Armed Forces, founded after the Iranian Revolution on 22 April 1979 by order of Ayatollah Ruhollah Khomeini. Whereas the Iranian Army defends Iranian borders and maintains internal order, according to the Iranian constitution, the Revolutionary Guard is intended to protect the country's Islamic republic political system."
Thomas Shannon,Thomas Alfred Shannon Jr. (born 1958) is an American diplomat who served as Under Secretary of State for Political Affairs from 2016 to 2018.
Hamid Sadeghi,"Hamid-e Mosaddeq (Persian: حمید مصدق, January 31, 1940, Shahreza, Isfahan, Iran – 28 November 1998, Tehran, Iran) was an Iranian poet, author and lawyer.


== Biography ==
He was born in Shahreza, a town close to Isfahan, but some time later his family moved to Isfahan, where Mosaddegh completed primary and secondary education."
Ali Tayebnia,"Ali Tayebnia (Persian: علی طیب‌نیا, born 5 April 1960) is an Iranian academic, economist and former minister of finance. He was designated by President Hassan Rouhani for the position of finance minister on 4 August 2013 and was confirmed by the parliament on 15 August."
Embraer,"Embraer S.A. (Portuguese pronunciation: [ẽbɾaˈɛɾ]) is a Brazilian multinational aerospace manufacturer that produces commercial, military, executive and agricultural aircraft, and provides aeronautical services. It was founded in 1969 in São José dos Campos, São Paulo, where its headquarters are located."
Won Yoo-chul,"Won Yoo-chul (born October 25, 1962) is a South Korean politician. He has a bachelor's degree in philosophy from Korea University."
Wu Dawei,"Wu Dawei (pronounced Mandarin: [u tAuei] (listen); simplified Chinese: 武大伟; traditional Chinese: 武大偉; born 1946) was the previous special representative for Korean Peninsula Affairs  and former Vice Minister of Foreign Affairs of the People's Republic of China.


== Personal life ==
Wu was born in 1946 in Heilongjiang province, China."
Roozbeh Farahanipour,"Roozbeh Farahanipour (Persian:روزبه فراهانی پور; born July 16, 1971 in Tehran, Iran) is former student activist and a leader in the movement for an Iranian cultural renaissance and the chairman of the Marz-e Por Gohar (""Glorious Frontiers"") resistance movement, which advocates the overthrow of Iran's Islamic government and its replacement with a secular Iranian Republic. After being imprisoned and tortured for his key role in the uprising of July 1999, Farahanipour went into exile in the United States where he received political asylum."
Stuart Levey,"Stuart A. Levey was the first Under Secretary for Terrorism and Financial Intelligence within the United States Department of the Treasury. He was sworn in on July 21, 2004 as a political appointee of President George W. Bush."
Philipp Roesler,"Philipp Rösler  (born 24 February 1973) is a German physician and former politician who served as the minister of Economics and Technology and the vice-chancellor of Germany from 2011 to 2013.Rösler was also Chairman of the liberal Free Democratic Party (FDP) from 2011 to 2013. Following the 2013 federal election in which the FDP left the Bundestag, he announced his resignation from the chairmanship."
Sheldon Whitehouse,"Sheldon Whitehouse (born October 20, 1955) is an American lawyer and politician serving as the junior United States senator from Rhode Island since 2007. A member of the Democratic Party, he served as a United States Attorney from 1993 to 1998 and the 71st attorney general of Rhode Island from 1999 to 2003."
Henry S. Ensher,Henry S. Ensher (1959-) is an American Career Foreign Service Officer who served as Ambassador Extraordinary and Plenipotentiary to Algeria from 2011 until 2014.  He's also served as deputy assistant secretary at the State Department's Bureau of South and Central Asian Affairs.
Tom Carpenter,"Tom Carpenter (born 31 August 1887, date of death unknown) was an English player of English billiards and snooker. 


== Biography ==
Carpenter was born in August 1887, to English parents, at Newport, Wales, and later lived in Cardiff."
Jim Haynes,"James Almand Haynes (10 November 1933 – 6 January 2021) was an American-born figure in the British ""underground"" and alternative/counter-culture scene of the 1960s. He was involved with the founding of Edinburgh's Traverse Theatre, the paper International Times and the London Arts Lab in Drury Lane for experimental and mixed media work."
James E. Doyle,"James Edward Doyle, Jr., (born November 23, 1945) is an American attorney and politician who served as the 44th governor of Wisconsin, serving from January 6, 2003 to January 3, 2011. In his first election to the governorship, he defeated incumbent Governor Scott McCallum by a margin of 45 percent to 41 percent; the Libertarian Party candidate Ed Thompson won 10 percent of the vote."
Richard Rhodes,"Richard Lee Rhodes (born July 4, 1937) is an American historian, journalist, and author of both fiction and non-fiction, including the Pulitzer Prize-winning The Making of the Atomic Bomb (1986), and most recently, Energy: A Human History (2018).
Rhodes has been awarded grants from the Ford Foundation, the Guggenheim Foundation, the MacArthur Foundation, and the Alfred P. Sloan Foundation among others."
Abdelfatah El-Sissi,"Abdel Fattah Saeed Hussein Khalil el-Sisi (born 19 November 1954) is a retired military officer and Egyptian politician who has served as the sixth and current president of Egypt since 2014. From 2019 to 2020, he also served as chairperson of the African Union."
Paolo Gentiloni,"Paolo Gentiloni Silveri (Italian pronunciation: [ˈpaːolo dʒentiˈloːni]; born 22 November 1954) is an Italian politician who has served as European Commissioner for Economy in the von der Leyen Commission since 1 December 2019. He previously served as Prime Minister of Italy from December 2016 to June 2018.After a lengthy career in local politics, Gentiloni was elected to the Chamber of Deputies in 2001."
Danny Danon,"Danny Danon (Hebrew: דני דנון, born 8 May 1971) served as Israel’s 17th Permanent Representative to the United Nations, and currently serves as Chairman of the World Likud. Danon previously served as a member of the Knesset from the Likud Party, as Minister of Science, Technology and Space, and as Deputy Minister of Defense."
Norm Ornstein,"Norman Jay Ornstein (; born October 14, 1948) is an American political scientist and an Emeritus scholar at the American Enterprise Institute (AEI), a Washington, D.C. conservative think tank. He is the co-author (along with Thomas E. Mann) of It's Even Worse Than It Looks: How the American Constitutional System Collided With the New Politics of Extremism."
Daniel W. Drezner,"Daniel W. Drezner (born August 23, 1968) is an American political scientist. He is professor of international politics at The Fletcher School of Law and Diplomacy at Tufts University."
Mark Lowenthal,"Mark M. Lowenthal (born September 5, 1948) is an author and Adjunct Professor at the Krieger School of Arts and Sciences at Johns Hopkins University in Washington, D.C. He has written five books and over 90 articles or studies on intelligence and national security. His book Intelligence: From Secrets to Policy has become a standard undergraduate and graduate text."
John Roberts,"John Glover Roberts Jr. (born January 27, 1955) is an American lawyer and jurist serving as the 17th chief justice of the United States since 2005."
Charles Wald,"General Charles ""Chuck"" F. Wald (; born 1948) is the former Deputy Commander of United States European Command. He retired on July 1, 2006, and was succeeded by General William E. Ward."
Angus Walker,"Angus Reynolds Walker (born August 27, 1939) is a Canadian bluegrass and country musician from Port Hastings, Cape Breton, Nova Scotia. He has been called ""Canada's Prime Minister of Country Music"" and ""The Cape Breton Rebel""."
Lesley Stahl,"Lesley Rene Stahl (born December 16, 1941) is an American television journalist. She has spent most of her career with CBS News, where she began as a producer in 1971."
Nicholas Kristof,"Nicholas Donabet Kristof (born April 27, 1959) is an American journalist and political commentator. He was a Democratic candidate for Governor of Oregon in 2022 but was disqualified because he had not been a resident of Oregon for the requisite 3 years."
Julia Gillard,Julia Eileen Gillard  (born 29 September 1961) is an Australian former politician who served as the 27th prime minister of Australia from 2010 to 2013. She held office as leader of the Australian Labor Party (ALP).
Ezra Klein,"Ezra Klein (born May 10, 1984) is an American journalist, political analyst, New York Times columnist, and the host of The Ezra Klein Show podcast. He is a co-founder of Vox and formerly served as the website's editor-at-large."
Page Hopkins,"Page Hopkins is an American journalist  who currently appears  on MSNBC's First Look and NBC's Early Today. Most recently, Hopkins interviewed Randy Roberts Potts on growing up with his grandfather Oral Roberts and then later revealing his homosexuality in his adult life."
Andrea Mitchell,"Andrea Mitchell (born October 30, 1946) is an American television journalist, anchor, and commentator for NBC News, based in Washington, D.C.
She is the NBC News Chief Foreign Affairs & Chief Washington Correspondent, and reported on the 2008 presidential election campaign for NBC News broadcasts, including NBC Nightly News with Lester Holt, Today, and MSNBC. She anchors Andrea Mitchell Reports airing from 12:00 noon to 1:00 p.m. ET weekdays on MSNBC, has appeared on and guest hosted Meet the Press, and is often a guest on Hardball with Chris Matthews and The Rachel Maddow Show."
David Brooks,"David Brooks (born August 11, 1961) is a conservative political and cultural commentator who writes for The New York Times. He has worked as a film critic for The Washington Times, a reporter and later op-ed editor for The Wall Street Journal, a senior editor at The Weekly Standard from its inception, a contributing editor at Newsweek, and The Atlantic Monthly, in addition to working as a commentator on NPR and the PBS NewsHour."
Jon Soltz,"Jon Soltz served as a United States Army officer in the Iraq War and is chairman and co-founder of the 700,000 member VoteVets.org. In 2011, he took a one-year leave of absence from VoteVets, while deployed as part of Operation New Dawn in Iraq."
Frank Rich,"Frank Hart Rich Jr. (born June 2, 1949) is an American essayist and liberal op-ed columnist, who held various positions within The New York Times from 1980 to 2011."
Steve Scheffler,"Stephen Robert Scheffler (born September 3, 1967) is an American former professional basketball player who played in the NBA. He is left handed.


== College career ==
Scheffler attended Purdue University, located in West Lafayette, Indiana, where he played under head coach Gene Keady."
Connie Pillich,"Connie Pillich (born September 7, 1960) is a former Democratic member of the Ohio House of Representatives, representing the 28th District since 2009.  She was the Democratic candidate for Ohio State Treasurer in 2014."
Maryam Rajavi,"Maryam Rajavi (Persian: مریم رجوی, née Qajar-Azodanlu, Persian: مریم قجر عضدانلو) is the leader of the People's Mujahedin of Iran (MEK), an organization advocating for the overthrow of the Iranian government, and president-elect of its National Council of Resistance of Iran (NCRI). She is married to Massoud Rajavi, who is the co-leader of MEK.


== Early life and education ==
Rajavi was born Maryam Qajar-Azodanlu on 4 December 1953 in Tehran, Iran."
David Alton,"David Patrick Paul Alton, Baron Alton of Liverpool, KCSG, KCMCO (born 15 March 1951) is a British politician.
He is a former Liberal Party and later Liberal Democrat Member of Parliament who has sat as a crossbench member of the House of Lords since 1997 when he was made a life peer."
Michael B. Mukasey,"Michael Bernard Mukasey (; born July 28, 1941) is an American attorney and former federal judge who served as the 81st Attorney General of the United States from 2007 to 2009.
Born in New York City in 1941, Mukasey attended Ramaz School, graduated from Columbia College with a degree in history and received a Bachelor of Laws from Yale Law School."
Max Boot,"Max A. Boot (born September 12, 1969) is a Russian-American author, consultant, editorialist, lecturer, and military historian. He worked as a writer and editor for Christian Science Monitor and then for The Wall Street Journal in the 1990s."
Scott Brown,"Scott Philip Brown (born September 12, 1959) is an American diplomat, attorney, and politician who served as the United States Ambassador to New Zealand and Samoa. He is a former United States Senator for Massachusetts (2010–2013), and also was the 2014 Republican nominee for the U.S. Senate in New Hampshire."
Max Millen,"Stanley Mac ""Max"" Millen (7 July 1909 – 4 September 1973) was an  Australian rules footballer who played with North Melbourne in the Victorian Football League (VFL).


== Family ==
The son of George Robert Millen (1873-1957), and Edith Elizabeth Millen (1874-1940), née Rice, Stanley Mac Millen was born at Seymour, Victoria on 7 July 1909."
"Robert ""Bob"" Mcdonnell","Robert Francis McDonnell (born June 15, 1954) is an American attorney, businessman, politician, and former military officer who served as the 71st governor of Virginia from 2010 to 2014. A member of the Republican Party, McDonnell also served on the executive committee of the Republican Governors Association."
Stephen Biddle,"Stephen D. Biddle (born January 19, 1959) is an American author, historian, policy analyst and columnist whose work concentrates on U.S. foreign policy. Currently, he is the Professor of International and Public Affairs at School of International and Public Affairs, Columbia University."
Rick Nelson,"Eric Hilliard Nelson (May 8, 1940 – December 31, 1985), known professionally as Ricky Nelson, was an American singer, musician, and actor. From age eight he starred alongside his family in the radio and television series The Adventures of Ozzie and Harriet."
Marc Lynch,"Marc Lynch is a Professor of Political Science and International Affairs at George Washington University, where he is also director of both the Institute for Middle East Studies and the Middle East Studies Program.Lynch is also a Non-Resident Senior Fellow at the Center for a New American Security, and is on the editorial board of PS Political Science & Politics.
Marc Lynch also writes a blog for Foreign Policy."
Yuli Edelstein,"Yuli-Yoel Edelstein (Hebrew: יוּלִי־יוֹאֵל אֵדֶלְשְטֵיין, Russian: Ю́лий Ю́рьевич Эдельште́йн, Ukrainian: Ю́лій Ю́рійович Едельште́йн, born 5 August 1958) is an Israeli politician who served as Minister of Health from 2020 to 2021. One of the most prominent refuseniks in the Soviet Union, he was the 16th Speaker of the Knesset from 2013 until his resignation on 25 March 2020."
Ron Brownstein,"Ronald J. Brownstein (born April 6, 1958) is an American journalist, political correspondent, and analyst.


== Early life and education ==
Brownstein was born to a Jewish family on April 6, 1958 in New York City, the son of Shirley and David Brownstein."
Roland Martin,"Roland Martin (born March 14, 1940) is a professional sport fisherman. Martin is host of Fishing with Roland Martin on the NBCSN television channel."
Christine Lagarde,"Christine Madeleine Odette Lagarde (French: [kʁistin madlɛn ɔdɛt laɡaʁd]; née Lallouette, IPA: [lalwɛt]; born 1 January 1956) is a French politician and lawyer who is the current president of the European Central Bank, a position she has held since 1 November 2019. Prior to this appointment and between July 2011 and September 2019, she was the managing director of the International Monetary Fund (IMF).Lagarde previously held various senior ministerial posts in the Government of France: she was Minister of Foreign Trade (2005–2007), Minister of Agriculture and Fishing (2007) and Minister of the Economy, Finance and Industry (2007–2011)."
Silvan Shalom,"Zion Silvan Shalom (Hebrew: ציון סילבן שלום, born 4 August 1958) is an Israeli politician who served as a member of the Knesset for Likud between 1992 and 2015. He held several prominent ministerial positions, including being Vice Prime Minister and Minister of the Interior."
John Hannah,"John David Hannah (born 23 April 1962) is a Scottish film and television actor. He came to prominence in Four Weddings and a Funeral (1994), for which he was nominated for the BAFTA Award for Best Actor in a Supporting Role as Matthew."
James Woolsey,"Robert James Woolsey Jr. (born September 21, 1941) is an American politician."
Lally Weymouth,"Elizabeth Morris ""Lally"" Graham Weymouth (born July 3, 1943) is an American journalist, and senior associate editor of The Washington Post. She was previously special diplomatic correspondent for Newsweek magazine during her family's ownership of the publication."
John Bumgarner,"Madison Kyle Bumgarner (born August 1, 1989), commonly known by his nickname, ""MadBum"", is an American professional baseball pitcher for the Arizona Diamondbacks of Major League Baseball (MLB). Previously, he pitched for the San Francisco Giants (2009–19)."
Alexei Ulyukayev,"Alexey Valentinovich Ulyukaev (Russian: Алексе́й Валенти́нович Улюка́ев, IPA: [ɐlʲɪkˈsʲej vəlʲɪnʲˈtʲinəvʲɪtɕ ʊlʲʊˈka(j)ɪf]; born 23 March 1956) is a Russian politician, scientist, and economist. Between 24 June 2013 and 15 November 2016, he held the office of Minister of Economic Development of the Russian Federation in Dmitry Medvedev's Cabinet."
Stephen W. Wilson,"Stephen W. ""Seve"" Wilson (born c. 1959/1960) is a retired United States Air Force four-star general, who last served as the 39th vice chief of staff of the Air Force. He previously served as the deputy commander of United States Strategic Command."
Deborah Lee James,"Deborah Roche Lee James (born November 25, 1958) served as the 23rd Secretary of the Air Force. She is the second woman, after Sheila Widnall (1993–1997), to ever hold this position."
Russ Feingold,"Russell Dana Feingold ( FYNE-gold; born March 2, 1953) is an American lawyer and politician who served as a United States Senator from Wisconsin from 1993 to 2011. A member of the Democratic Party, he was its nominee in the 2016 election for the same U.S. Senate seat he had previously occupied."
Greg Schaffer,"Greg Schaffer is an American television producer and writer.His producing and writing credits include Mad About You; The Tracy Morgan Show; Rodney; That '70s Show; Notes from the Underbelly; True Jackson, VP; Oh, Grow Up; Tucker and produced and wrote for That '80s Show. Much of his work prior to the second season of True Jackson, VP was with fellow writer and producer Steve Joe; they parted ways in 2009."
Jakob Larsen,"Jakob Aall Ottesen Larsen (March 1, 1888 – September 2, 1974) was an American classical scholar. He was known principally for his research on the political status of Ancient Greece."
Jon Stewart,"Jon Stewart (born Jonathan Stuart Leibowitz; November 28, 1962) is an American comedian, writer, producer, director, political commentator, actor, and television host. He hosted The Daily Show, a satirical news program on Comedy Central, from 1999 to 2015."
Uzi Rabi,"Uzi Rabi, an Israeli, is the Director of the Moshe Dayan Center for Middle Eastern Studies at Tel Aviv University.


== Publications ==
""The Military of Qajar Iran: The Features of an Irregular Army from the Eighteenth Century to the Early Twentieth Century,"" Iranian Studies, Vol."
K.C. Singh,Rajadhiraj Karan Chand Singh Baba (born 29 March 1947) is current Maharaja of Kumaon also an Indian politician who was a member of the 14th and 15th Lok Sabha of the Parliament of India. He represented the Nainital-Udhamsingh Nagar constituency of Uttarakhand and is a member of the Indian National Congress (INC) political party.
Angela E. Stent,"Angela E. Stent is a foreign policy expert specializing in US and European relations with Russia and Russian foreign policy.  She is Professor of Government and Foreign Service at Georgetown University and director of its Center for Eurasian, Russian, and East European Studies."
George Stephanopoulos,"George Robert Stephanopoulos (born February 10, 1961) is an American television host, political commentator, and former Democratic advisor. Stephanopoulos currently is a coanchor with Robin Roberts and Michael Strahan on Good Morning America, and host of This Week, ABC's Sunday morning current events news program.Before his career as a journalist, Stephanopoulos was an advisor to the Democratic Party."
Jim Cooper,"James Hayes Shofner Cooper (born June 19, 1954), is an American lawyer and politician who has served since 2003 as the U.S. representative for Tennessee's 5th congressional district (based in Nashville and containing parts of Davidson, Cheatham, and Dickson Counties). He is a member of the Democratic Party and the Blue Dog Coalition, and represented Tennessee's 4th congressional district from 1983 to 1995."
Rush D. Holt,"Rush Dew Holt Jr. (born October 15, 1948) is an American scientist and politician who served as the U.S. representative for New Jersey's 12th congressional district from 1999 to 2015."
Steve Atkiss,"Steve Atkiss is a former US Government official who is a Principal at Command Consulting Group, a homeland and national security advisory firm based in Washington, DC, USA.
Atkiss served in U.S. Customs and Border Protection, the largest law enforcement agency in the United States as Chief of Staff. [1] He is most well known for his involvement in the effort to build CBP's intelligence capabilities."
Susan Cohen,"Susan Cohen is a Canadian independent film producer, screenwriter and film director.Cohen is a documentary filmmaker whose work has won awards at film festivals across the United States and around the world. In 2007, she was one of eight women selected to attend the American Film Institute's Directing Workshop for Women, where she directed her first short film Open Your Eyes."
Jukka Laaksonen,"Jukka Laaksonen (born 15 July 1958, in Helsinki) is a Finnish comedian, impressionist and compere. For most of the public he is familiar as one of the regular competitors in popular YLE TV2 sports quiz show Se on siinä."
Hossein Alaei,"Hossein Alaei (Persian: حسین علایی) is an Iranian retired military officer who served as the CEO of Iran Aseman Airlines from 2013 to 2018. During his military career, Alaei was among senior Islamic Revolutionary Guard Corps commanders, having served as its commander in two northwestern provinces, Karbala HQ, maritime forces and the joint staff."
J. Ann Selzer,"J. Ann Selzer is an American political pollster who is the president of the Des Moines, Iowa-based polling firm Selzer & Company, which she founded in 1996. Her polls of Iowa voters have a reputation for being highly accurate, based on their performance in major elections from 2008 through 2020."
Alex Castellanos,"Alejandro Castellanos (born 1954) is a Cuban-American political consultant. He has worked on electoral campaigns for Republican candidates including Bob Dole, George W. Bush, Jeb Bush, and Mitt Romney."
Jack Cafferty,"Jack Cafferty (born December 14, 1942) is a former CNN commentator and occasional host of specials. In the summer of 2005, Cafferty joined The Situation Room."
Mohammad Nahavandian,"Mohammad Nahavandian (Persian: ‌محمد نهاوندیان, born 2 February 1954) is an Iranian politician and economist who served as the Vice President for Economic Affairs. He was formerly Chief of Staff of the President of Iran, serving from 2013 until 2017."
Yukio Edano,"Yukio Edano (枝野 幸男, Edano Yukio, born 31 May 1964) is a Japanese politician who served as the leader of the Constitutional Democratic Party of Japan from its formation in 2017 until 2021. A member of the House of Representatives in the Diet since 1993, he served as Chief Cabinet Secretary and Minister of Economy, Trade and Industry in the Democratic Party of Japan (DPJ) government from 2010 to 2012.Following the CDP's poor performance in the 2021 general election, Edano announced on 2 November his intention to resign as leader of the party, triggering a leadership election."
Kim Hyung-suk,"Kim Hyung-suk (born July 6, 1920) is a South Korean retired philosopher and best-selling author of books including Solitude (1960) and The Discourse between Eternity and Love (1961) which had a significant impact in the young generation of South Koreans growing up in the tumultuous times during the South Korean history. He turned 100 in July 2020."
John Hamre,"John Julian Hamre (born July 3, 1950) is a specialist in international studies, a former Washington government official and President and CEO of the Center for Strategic and International Studies, a position he has held with that think tank since 2000.


== Early life and education ==
Hamre is the son of Melvin Sanders and Ruth Lucile (Larson) Hamre."
Andrew Schwartz,"H. Andrew Schwartz is an American journalist and chief communications officer at the Center for Strategic and International Studies (CSIS).


== Education ==
In 1986 Schwartz enrolled at Tulane University where he earned a B.A. in political science in 1990."
James Schlesinger,"James Rodney Schlesinger (February 15, 1929 – March 27, 2014) was an American economist and public servant who was best known for serving as Secretary of Defense from 1973 to 1975 under Presidents Richard Nixon and Gerald Ford. Prior to becoming Secretary of Defense, he served as Chair of the Atomic Energy Commission (AEC) from 1971 to 1973, and as CIA Director for a few months in 1973."
Jim Jones,"James Warren Jones (May 13, 1931 – November 18, 1978) was an American cult leader, political activist, preacher, and faith healer who between 1955 and 1978 led the Peoples Temple, a new religious movement. In what he described as ""revolutionary suicide"", Jones and his inner circle orchestrated a mass murder–suicide in his remote jungle commune at Jonestown, Guyana, on November 18, 1978."
Norman Polmar,"Norman Polmar is a prominent author specializing in the naval, aviation, and intelligence areas.He has led major projects for the U.S. Department of Defense and the U.S. Navy, and foreign governments. His professional expertise has served three Secretaries of the U.S. Navy and two Chiefs of Naval Operations."
S. Jaipal Reddy,Sudini Jaipal Reddy (16 January 1942 – 28 July 2019) was an Indian politician who was the Member of Parliament in the Lok Sabha of India for five terms. He represented the Chevella constituency of Telangana and was a member of the Indian National Congress.
Sadeq Larijani,"Sadeq Ardeshir Larijani (Persian: صادق اردشیر لاریجانی; born 12 March 1961), better known as Amoli Larijani (Persian: آملی لاریجانی), is an Iranian scholar, conservative politician, and current chairman of Expediency Discernment Council. He is the former and fifth Chief Justice of the judicial system of Iran after the 1979 revolution."
Efraim Zuroff,"Efraim Zuroff (Hebrew: אפרים זורוף; born August 5, 1948) is an American-born Israeli historian and Nazi hunter who has played a key role in bringing indicted Nazi and fascist war criminals to trial. Zuroff, the director of the Simon Wiesenthal Center office in Jerusalem, is the coordinator of Nazi war crimes research worldwide for the Wiesenthal Center and the author of its annual ""Status Report"" on the worldwide investigation and prosecution of Nazi war criminals which includes a list of most-wanted Nazi war criminals."
Tom Moore,"Captain Sir Thomas Moore (30 April 1920 – 2 February 2021), more popularly known as Captain Tom, was a British Army officer and fundraiser who made international headlines in 2020 when he raised money for charity in the run-up to his 100th birthday during the COVID-19 pandemic. He served in India and the Burma campaign during the Second World War, and later became an instructor in armoured warfare."
Susan Collins,"Susan Margaret Collins (born December 7, 1952) is an American politician serving as the senior United States senator from Maine, a seat she has held since 1997. She is a member of the Republican Party."
Mubarak Ali Al-Sabah,"Captain Sheikh Mubarak Ali Yousuf Al Sabah (12 Aug 1979) the eldest son of Sheikh Ali Yousuf Al Sabah and Sheikha Awrad Jaber Al Sabah, the daughter of the former Emir of Kuwait, His Highness Jaber Al-Ahmad Al-Jaber Al-Sabah.


== Military career ==
Joined the Kuwait Navy as an officer cadet in 2000, and was commissioned as a Sub Lieutenant in 2002."
Jay Sekulow,"Jay Alan Sekulow (; born June 10, 1956) is an American lawyer, radio, television talk show host and politically conservative media personality. He has been chief counsel of the American Center for Law & Justice (ACLJ) since 1991."
Cristina Fernandez,"Cristina Elisabet Fernández de Kirchner (Spanish pronunciation: [kɾisˈtina eˈlisaβet ferˈnandes ðe ˈkiɾʃneɾ] (listen); born 19 February 1953), often referred to by her initials CFK, is an Argentine lawyer and politician who has served as the 37th Vice President of Argentina since 2019. She also served as the President of Argentina from 2007 to 2015 and the first lady during the tenure of her husband, Néstor Kirchner."
Andrew Johnson,"Andrew Johnson (December 29, 1808 – July 31, 1875) was the 17th president of the United States, serving from 1865 to 1869. He assumed the presidency as he was vice president at the time of the assassination of Abraham Lincoln."
Shelly Yacimovich,"Shelly Rachel Yachimovich (Hebrew: שלי רחל יחימוביץ׳, born 28 March 1960) is an Israeli politician, who served three terms as the official Leader of the Opposition, a member of the Knesset, and a member of the Foreign Affairs and Defense Committee. She served as leader of the Israeli Labor Party between 2011 and 2013."
Amram Mitzna,"Amram Mitzna (Hebrew: עמרם מצנע, born 20 February 1945) is an Israeli politician and former general in the IDF. He is a former mayor of Haifa (1993–2003) and Yeruham (2005–2010) and led the Labor Party from 2002 to 2003. In 2012 he joined Hatnuah."
Stephen M. Walt,"Stephen Martin Walt (born July 2, 1955) is an American political scientist. He is the Robert and Renee Belfer Professor of International Affairs at the John F. Kennedy School of Government at Harvard University."
Gideon Levy,Gideon Levy (Hebrew: גדעון לוי; born 2 June 1953) is an Israeli journalist and author. Levy writes opinion pieces and a weekly column for the newspaper Haaretz that often focus on the Israeli occupation of the Palestinian territories.
Aryeh Eldad,"Aryeh Eldad, M.D. (Hebrew: אריה אלדד, born 1 May 1950) is an Israeli physician and politician, and a former member of the Knesset for the National Union and Otzma LeYisrael.


== Biography ==
Eldad was born in Tel Aviv in 1950."
Gernot Erler,"Gernot Erler (born 3 May 1944 in Meißen) is a German politician (SPD) who was member of the Bundestag, the German parliament, from 1987 to 2017.


== Early life and education ==
Erler studied history, Slavic studies and political science in Berlin and Freiburg from 1963 to 1967."
Sol Sanders,"Sol W. Sanders (born 1926) is an American journalist specializing in Asia with more than 25 years in the region.  He is a former correspondent for Business Week, U.S. News & World Report and United Press International."
Bruce Baird,"Bruce George Baird, AM (born 28 February 1942), is a former Australian politician whose career included a stint as Deputy Leader of the Liberal Party in New South Wales.


== Early life ==
Baird was born in Sydney, and was educated at the University of Sydney and the University of Melbourne, holding a master's degree in business administration from the latter."
David Brog,"David Brog is an American attorney and political writer. He is the former Executive Director of Christians United for Israel (CUFI), an American pro-Israel Christian organization."
Richard Mauze Burr,"Richard Mauze Burr (born November 30, 1955) is an American businessman and politician who is the senior United States senator from North Carolina, serving since 2005. A member of the Republican Party, Burr was previously a member of the United States House of Representatives."
Kenneth C. Brill,"Kenneth C. Brill is a retired US diplomat.  He served as ambassador to the IAEA and the U.N. Office in Vienna; ambassador to Cyprus (1996-1999); acting ambassador and deputy chief of mission at the Embassy in New Delhi, India; and political counselor at the U.S. Embassy in Amman."
David A. Kay,"David A. Kay (born c. 1940) is a weapons expert, political commentator, and senior fellow at the Potomac Institute for Policy Studies."
Andrew McCarthy,"Andrew Thomas McCarthy (born November 29, 1962) is an American actor, travel writer, and television director. He is most known as a member of the Brat Pack, with roles in 1980s films such as St."
Richard Erdman,"John Richard Erdman (June 1, 1925 – March 16, 2019) was an American character actor and occasional film and television director. He appeared in more than 160 films and television productions between 1944 and 2017, mostly in supporting roles."
Robert Kagan,"Robert Kagan (; born September 26, 1958) is an American neoconservative scholar, and critic of U.S. foreign policy and a leading advocate of liberal interventionism.A co-founder of the neoconservative Project for the New American Century, he is a senior fellow at the Brookings Institution and a member of the Council on Foreign Relations. Kagan has been a foreign policy adviser to U.S. Republican presidential candidates as well as Democratic administrations via the Foreign Affairs Policy Board."
Matan Vilnai,"Matan Vilnai (Hebrew: מַתָּן וִילְנַּאִי; born 20 May 1944) is an Israeli politician and a former major general in the Israel Defense Forces (IDF). A former Knesset member and government minister, he was appointed ambassador to China in 2012."
Jamie M. Fly,"Jamie M. Fly is the current president and chief executive officer (CEO) of Radio Free Europe/Radio Liberty.


== Education and career ==
Fly graduated from American University with a bachelor's degree in international studies and political science and from Georgetown University with a master's degree in German and European studies.From 2002 to 2004 he worked on European and national security issues as a research associate at the Council on Foreign Relations."
Dennis Hejlik,"Dennis J. Hejlik, is a retired USMC Lieutenant General. Hejlik previously served as commanding general of United States Marine Corps Forces, Europe and United States Marine Corps Forces Command."
Eric Shawn,"Eric Shawn is an American television news anchor and reporter for the Fox News Channel, based in Manhattan alongside co-anchor Arthel Neville.


== Early life and education ==
Shawn is the son of Gilbert Shawn and Melba Rae, an actress best known for her long-running role as Marge Bergman on Search for Tomorrow."
Traian Basescu,"Traian Băsescu (Romanian pronunciation: [traˈjan bəˈsesku]; born 4 November 1951) is a Romanian politician who served as President of Romania from 2004 to 2014. Prior to his presidency, Băsescu served as Romanian Minister of Transport on multiple occasions between 1991 and 2000, and as Mayor of Bucharest from 2000 to 2004."
John D Gardner,"John D. 'Jack' Gardner is a retired lieutenant general in the United States Army.  He is the former deputy commander of the United States European Command in Stuttgart, Germany."
